,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag
Num. patterns/hits,18486/17581,22294/21136,18672/17844,13537/13013,23815/22390,23120/21919,22936/21966
Indexed patterns/crystals,6637/8313,17105/23234,16775/22865,12341/16358,18553/24759,10163/13079,17494/23593
CC* intersects with Rsplit at,1.531,-1000,1.506,-1000,-1000,-1000,-1000
Resolution,45.76 - 1.50 (1.55 - 1.5),69.38 - 1.50 (1.55 - 1.5),71.82 - 1.50 (1.55 - 1.5),69.27 - 1.50 (1.55 - 1.5),71.35 - 1.50 (1.55 - 1.5),45.51 - 1.50 (1.55 - 1.5),69.16 - 1.50 (1.55 - 1.5)
Rsplit (%),22.72 (101.88),10.53 (45.55),17.03 (87.46),13.52 (61.01),15.03 (48.27),14.45 (60.97),9.78 (43.27)
CC1/2,0.9163 (0.38),0.9812 (0.759),0.9497 (0.48),0.9683 (0.647),0.9607 (0.741),0.9691 (0.662),0.9862 (0.773)
CC*,0.9779 (0.742),0.9952 (0.929),0.987 (0.806),0.9919 (0.886),0.9899 (0.923),0.9921 (0.892),0.9965 (0.934)
CCano,,,,,,,
SNR,4.3033 (1.09),8.713 (2.27),5.2475 (1.16),6.4803 (1.76),6.7072 (2.02),6.355 (1.67),8.9091 (2.37)
Completeness (%),99.9813 (99.94),99.9979 (99.98),99.963 (99.71),99.9936 (99.98),100.0 (100.0),99.9979 (99.98),100.0 (100.0)
Multiplicity,38.1856 (18.2),164.8909 (63.9),72.8241 (24.5),99.2381 (36.8),98.1173 (47.3),86.7347 (32.5),177.5591 (73.7)
Total Measurements,1838864,7707988,3545079,4624991,4737396,4057103,8242292
Unique Reflections,48156 (4713),46746 (4589),48680 (4768),46605 (4569),48283 (4735),46776 (4592),46420 (4563)
Wilson B-factor,18.65,17.32,22.16,18.87,19.23,17.67,17.52
Rfree/Rwork,0.2017/0.1702,0.1665/0.1345,0.1870/0.1622,0.1804/0.1422,0.1765/0.1512,0.1789/0.1418,0.1652/0.1312
Refinement resolution cut-off,1.5,1.5,1.5,1.5,1.5,1.5,1.5
