,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag
Num. patterns/hits,20464/20464,19846/19845,16457/16457,11927/11927,20453/20453,20469/20469,20947/20947
Indexed patterns/crystals,9746/12357,16754/22887,16134/22223,11846/15863,18019/24225,9959/12872,17211/23310
CC* intersects with Rsplit at,-1000,-1000,1.498,-1000,-1000,-1000,-1000
Resolution,45.76 - 1.50 (1.55 - 1.5),69.38 - 1.50 (1.55 - 1.5),71.82 - 1.50 (1.55 - 1.5),69.27 - 1.50 (1.55 - 1.5),71.35 - 1.50 (1.55 - 1.5),45.51 - 1.50 (1.55 - 1.5),69.16 - 1.50 (1.55 - 1.5)
Rsplit (%),18.78 (74.78),10.31 (45.52),17.34 (82.49),13.42 (60.18),15.32 (48.21),14.65 (61.95),9.82 (43.47)
CC1/2,0.9404 (0.543),0.9835 (0.746),0.9486 (0.497),0.97 (0.654),0.956 (0.742),0.9639 (0.648),0.9861 (0.777)
CC*,0.9845 (0.839),0.9958 (0.925),0.9867 (0.815),0.9924 (0.889),0.9887 (0.923),0.9908 (0.887),0.9965 (0.935)
CCano,,,,,,,
SNR,5.2883 (1.38),8.7154 (2.28),5.2407 (1.17),6.4883 (1.77),6.68 (2.02),6.3803 (1.7),8.9137 (2.37)
Completeness (%),99.9979 (99.98),100.0 (100.0),99.9404 (99.5),99.9936 (99.96),100.0 (100.0),99.9957 (99.96),100.0 (100.0)
Multiplicity,58.7685 (26.7),164.6573 (63.9),72.5783 (24.5),97.6221 (36.2),102.3059 (49.4),86.465 (32.4),178.1232 (73.9)
Total Measurements,2830526,7697234,3532312,4549676,4939634,4044402,8268479
Unique Reflections,48164 (4715),46747 (4590),48669 (4758),46605 (4568),48283 (4735),46775 (4591),46420 (4563)
Wilson B-factor,18.54,17.36,22.21,18.85,19.31,17.58,17.46
Rfree/Rwork,0.1841/0.1564,0.1645/0.1346,0.1865/0.1632,0.1807/0.1487,0.1737/0.1476,0.1769/0.1441,0.1707/0.1356
Refinement resolution cut-off,1.5,1.5,1.5,1.5,1.5,1.5,1.5
