,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag
CC*,0.9859 (0.843),0.9872 (0.588),0.9881 (0.809),0.9926 (0.887),0.9903 (0.925),0.9915 (0.888),0.9966 (0.932)
CC* intersects with Rsplit at,-1000,1.639,1.506,-1000,-1000,-1000,-1000
CC1/2,0.9454 (0.552),0.9502 (0.209),0.9539 (0.487),0.9708 (0.649),0.9622 (0.747),0.9665 (0.65),0.9864 (0.767)
CCano,,,,,,,
Completeness (%),100.0021 (100.0),100.0021 (100.0),99.9589 (99.64),99.9957 (99.96),100.0021 (100.0),99.9957 (99.93),100.0022 (100.0)
Indexed patterns/crystals,10011/12671,17242/23437,16936/23069,12446/16487,18765/25046,10231/13194,17602/23782
Multiplicity,62.1302 (27.5),177.0363 (66.0),77.1502 (25.4),102.6231 (36.6),103.7803 (48.7),92.1185 (33.3),178.5483 (71.6)
Num. patterns/hits,31892/22177,31892/21455,31892/18242,31892/13360,31892/22813,31892/22177,31892/22196
Refinement resolution cut-off,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Resolution,91.51 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.55 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5)
Rfree/Rwork,0.1819/0.1523,0.1655/0.1350,0.1865/0.1644,0.1843/0.1428,0.1778/0.1458,0.1748/0.1433,0.1702/0.1346
Rsplit (%),18.24 (73.18),10.83 (53.35),16.66 (88.3),13.15 (60.28),14.77 (47.45),14.33 (61.49),9.53 (44.14)
SNR,5.4069 (1.42),8.858 (2.29),5.3375 (1.15),6.6448 (1.79),6.7875 (2.02),6.4788 (1.72),9.0646 (2.32)
Total Measurements,2992625,8276271,3755594,4782957,5011033,4308936,8288568
Unique Reflections,48167 (4716),46749 (4590),48679 (4765),46607 (4568),48285 (4735),46776 (4590),46422 (4563)
Wilson B-factor,18.36,17.62,22.19,18.85,19.28,17.58,17.49
